회사명,경력,고용형태,연봉,근무지
주)리젠아이티,관계없음,정규직,"연봉 2,500만원 ~4,000만원",근무지 경기도 남양주시 다산중앙로19번길 25-23
(주)에스앤피소프트,신입,정규직,월급 250만원 ~350만원,근무지 충청북도 음성군 맹동면 태정로 6
(주)에스앤피소프트,경력(최소 1년 이상),계약직,월급 350만원 ~550만원,근무지 충청북도 음성군 맹동면 태정로 6
주식회사 열매미디어,경력(최소 3년 이상),정규직,"연봉 3,400만원 ~5,000만원",근무지 서울특별시 도봉구 노해로69길 15-15
(주)로텍스,경력(최소 2년 이상),정규직,"연봉 4,000만원 ~6,000만원",근무지 서울특별시 금천구 가산디지털2로 108
(주)타파크로스,경력(최소 3년 이상),정규직,"연봉 3,500만원 ~6,000만원",근무지 서울특별시 성동구 성수이로10길 14
정소프트웨어 주식회사,경력(최소 8년 이상),계약직,월급 500만원 이상,근무지 인천광역시 중구 공항동로1길 20-26
주식회사 링크업소프트,경력(최소 3년 이상),계약직,"연봉 3,000만원 ~6,500만원",근무지 경기도 김포시 태장로 789
더나은커뮤니케이션,경력(최소 2년 이상),정규직,"연봉 4,000만원 이상",근무지 서울특별시 강남구 학동로 313
주식회사 엔유비즈,경력(최소 1년 이상),정규직,월급 275만원 이상,근무지 광주광역시 서구 상무평화로 89
주식회사 소와소,경력(최소 5년 이상),정규직,"연봉 4,000만원 ~5,500만원",근무지 서울특별시 강서구 마곡중앙로 171
아키시스템즈(주),관계없음,정규직,"연봉 2,800만원 ~4,000만원",근무지 서울특별시 양천구 목동중앙북로 93-5
주식회사 포롱,경력(최소 1년 이상),계약직,월급 300만원 이상,근무지 서울특별시 강남구 논현로58길 27
주식회사엠아이티능력개발원,경력(최소 1년 이상),정규직,"연봉 5,000만원 이상",근무지 경기도 수원시 권선구 덕영대로1201번길 28
주식회사 인아이티,경력(최소 8년 이상),정규직,"연봉 5,000만원 이상",근무지 대전광역시 대덕구 대화로 120
(주)에스앤피소프트,신입,정규직,월급 230만원 ~350만원,근무지 서울특별시 영등포구 선유로 146
지코스트,관계없음,계약직,월급 300만원 이상,근무지 서울특별시 강남구 역삼로 114
주식회사 기반,경력(최소 2년 이상),정규직,월급 250만원 ~300만원,근무지 경기도 안양시 동안구 시민대로248번길 25
(주)타파크로스,경력(최소 3년 이상),정규직,"연봉 3,500만원 ~6,000만원",근무지 서울특별시 성동구 성수이로10길 14
(주)데이타게이트코리아,경력(최소 2년 이상),정규직,"연봉 3,200만원 ~3,500만원",근무지 서울특별시 구로구 디지털로 273
에이티이정보주식회사,경력(최소 1년 이상),정규직,"연봉 4,000만원 이상",근무지 서울특별시 영등포구 양평로21길 26
주식회사 지메이드,관계없음,정규직,"연봉 2,500만원 ~3,500만원",근무지 울산광역시 남구 대학로 93
(주)유시스뱅크,관계없음,정규직,"연봉 2,500만원 ~4,000만원",근무지 경기도 고양시 일산서구 강선로 49
(주)제이앤밸류,관계없음,정규직,"연봉 2,800만원 이상",근무지 대전광역시 유성구 반석로 14
(주)테크밸리시스템,신입,정규직,"연봉 3,000만원 이상",근무지 서울특별시 금천구 가산디지털1로 149
(주)우리요,경력(최소 3년 이상),정규직,"연봉 4,000만원 ~6,000만원",근무지 전라북도 전주시 완산구 홍산남로 75
소문,신입,정규직,"연봉 2,450만원 ~8,000만원",근무지 대전광역시 서구 갈마로 209
이에스지아이,관계없음,정규직,"연봉 2,500만원 ~4,000만원",근무지 서울특별시 금천구 서부샛길 606
(주)네오비트,관계없음,정규직,"연봉 4,000만원 이상",근무지 경상남도 진주시 돗골로 19
중앙직업전문학교,경력(최소 1년 이상),정규직,N/A,근무지 대구 중구
(주)코비젼,경력(최소 2년 이상),정규직,"연봉 3,000만원 이상",근무지 서울특별시 강서구 마곡중앙8로7길 11
뉴로라인즈,경력(최소 3년 이상),정규직,월급 275만원 ~500만원,근무지 서울특별시 서초구 태봉로 114
주식회사 에이치앤에스티,경력(최소 3년 이상),정규직,"연봉 4,500만원 ~7,000만원",근무지 경기도 부천시 석천로 345
(주)티젠소프트,관계없음,정규직,월급 225만원 ~240만원,근무지 서울특별시 금천구 가산디지털2로 184
(주)코젠아이,관계없음,정규직,"연봉 2,500만원 ~6,000만원",근무지 서울특별시 서초구 강남대로10길 6
(주)허브메카,신입,정규직,"연봉 2,600만원 ~2,800만원",근무지 서울특별시 구로구 디지털로27길 36
(주)씨앤케이피,관계없음,정규직,"연봉 2,500만원 ~3,200만원",근무지 서울특별시 금천구 서부샛길 606
(주)에이블정보시스템,"신입, 경력",정규직,"연봉 3,500만원 ~4,000만원",근무지 서울 등
스마터빌드주식회사,관계없음,정규직,"연봉 3,000만원 ~8,000만원",근무지 경기도 수원시 영통구 신원로 55
(주)인플라이,관계없음,정규직,"연봉 3,000만원 ~4,000만원",근무지 제주특별자치도 제주시 한라대학로 38
(주)레어소프트,경력(최소 2년 이상),정규직,"연봉 3,000만원 ~6,000만원",근무지 서울특별시 금천구 범안로 1130
(주)대유넥스티어,관계없음,정규직,"연봉 3,200만원 이상",근무지 서울특별시 성동구 상원12길 34
(주)리턴트루,경력(최소 3년 이상),정규직,"연봉 4,000만원 ~4,500만원",근무지 경기도 수원시 권선구 일월천로4번길 53
(주)소프트넷,경력(최소 3년 이상),정규직,"연봉 4,000만원 ~8,000만원",근무지 서울특별시 강남구 삼성로 566
주식회사 자바머신,신입,계약직,"연봉 2,500만원 ~2,700만원",근무지 경기도 화성시 송산면 송산산단길 117
솔브리드플러스,경력(최소 3년 이상),정규직,"연봉 3,200만원 ~3,800만원",근무지 서울특별시 금천구 가산디지털1로 128
(주)에스알시스템,경력(최소 1년 이상),정규직,월급 202만원 이상,근무지 대구광역시 북구 조야로12길 22
(사)경찰공제회,경력(최소 1년 이상),계약직,"연봉 3,671만원 ~6,173만원",근무지 서울특별시 마포구 마포대로 78
(주)다이나솔루션,관계없음,정규직,"연봉 3,000만원 ~3,500만원",근무지 경상남도 김해시 상동면 소락로 174
더벗,경력(최소 3년 이상),계약직,"연봉 3,000만원 ~5,000만원",근무지 서울특별시 마포구 매봉산로 37
주식회사 리스트,관계없음,계약직,월급 233만원 ~233만원,근무지 서울특별시 강서구 화곡로 416
(주)타파크로스,경력(최소 3년 이상),정규직,"연봉 3,500만원 ~6,000만원",근무지 서울특별시 성동구 성수이로10길 14
(주)인플라이,관계없음,정규직,"연봉 3,000만원 ~4,000만원",근무지 제주특별자치도 제주시 한라대학로 38
포에버 I C T,신입,정규직,"연봉 3,000만원 이상",근무지 서울특별시 구로구 디지털로31길 20
(주)인프라칩,경력(최소 1년 이상),정규직,"연봉 3,000만원 ~4,000만원",근무지 경기도 하남시 검단산로 239
(주)인프라칩,경력(최소 1년 이상),정규직,"연봉 3,000만원 ~4,000만원",근무지 경기도 하남시 검단산로 239
스마터빌드주식회사,관계없음,정규직,"연봉 2,500만원 ~3,500만원",근무지 경기도 수원시 영통구 신원로 55
스마터빌드주식회사,관계없음,정규직,"연봉 3,000만원 ~8,000만원",근무지 경기도 수원시 영통구 신원로 55
(주)다인시스,경력(최소 2년 이상),정규직,"연봉 4,000만원 이상",근무지 경기도 수원시 영통구 덕영대로1556번길 16
(주)다인시스,관계없음,정규직,"연봉 3,000만원 이상",근무지 경기도 수원시 영통구 덕영대로1556번길 16
한국디지털직업전문학교,관계없음,계약직,"시급 30,000원 이상",근무지 대구광역시 동구 신암로 128
(주)성진하이텍,관계없음,정규직,"연봉 3,000만원 ~3,000만원",근무지 서울특별시 금천구 벚꽃로 278 278
커리어커넥트(주),경력(최소 3년 이상),정규직,N/A,근무지 서울
주식회사 나물소프트,경력(최소 3년 이상),정규직,"연봉 3,500만원 ~6,000만원",근무지 경기도 남양주시 별내3로 402
(주)에이치알맨파워그룹,경력(최소 2년 이상),정규직,N/A,근무지 서울 중구
커리어커넥트(주),경력(최소 7년 이상),정규직,N/A,근무지 서울
(주)인터엠,석사,관계없음,N/A,근무지 서울 도봉구
(주)엔터웨이파트너스,경력(최소 3년 이상),정규직,N/A,근무지 서울
(주)엠버저,경력(최소 5년 이상),정규직,"연봉 5,000만원 이상",근무지 대전광역시 유성구 문지로 272-37
엔셀주식회사,신입,정규직,"연봉 3,200만원 ~3,500만원",근무지 경기도 성남시 분당구 성남대로 393
주식회사 펜타에스,경력(최소 2년 이상),정규직,"연봉 3,200만원 ~5,000만원",근무지 서울특별시 강서구 공항대로 247
(주)잡뉴스솔로몬서치,경력(최소 6년 이상),정규직,N/A,근무지 서울 강남구
주식회사 리턴트루,경력(최소 3년 이상),정규직,"연봉 4,500만원 ~5,000만원",근무지 경기 수원시 권선구 등
프로소프트,신입,정규직,월급 205만원 ~220만원,근무지 경상남도 창원시 의창구 창원대로18번길 46
주식회사 나물소프트,신입,계약직,"연봉 2,450만원 ~3,000만원",근무지 경기도 남양주시 별내3로 402
(주)위드마루,경력(최소 1년 이상),정규직,"연봉 3,000만원 ~4,500만원",근무지 대구광역시 달서구 성서공단북로 156
(주)아이티투게더,관계없음,정규직,"연봉 3,000만원 이상",근무지 대전광역시 유성구 온천로 59
주식회사 소프트아이,신입,정규직,"연봉 2,800만원 ~3,000만원",근무지 서울특별시 종로구 새문안로 69
주식회사쓰리케이비카스,경력(최소 3년 이상),정규직,"연봉 3,000만원 ~6,000만원",근무지 서울특별시 강동구 강동대로 177
(주)우리요,경력(최소 3년 이상),정규직,"연봉 4,000만원 ~6,000만원",근무지 전북 전주시 완산구 등
주식회사 엘앤디시스템,경력(최소 3년 이상),정규직,"연봉 4,000만원 이상",근무지 서울특별시 영등포구 선유로 70
(주)에이치알맨파워그룹,경력(최소 5년 이상),정규직,N/A,근무지 서울 영등포구
(주)디세이코리아,관계없음,정규직,"연봉 2,500만원 ~4,000만원",근무지 경기도 용인시 수지구 광교중앙로 338
